noise_model,noise_probability,mean_success,baseline_success,success_drop,percent_degradation
bit_flip,0.0,1.0,1.0,0.0,0.0
bit_flip,0.001,0.9039266666666667,1.0,0.09607333333333334,9.607333333333335
bit_flip,0.002,0.8288066666666667,1.0,0.1711933333333333,17.11933333333333
bit_flip,0.005,0.6787533333333333,1.0,0.3212466666666667,32.12466666666667
bit_flip,0.01,0.5415399999999999,1.0,0.4584600000000001,45.84600000000001
bit_flip,0.02,0.4053733333333333,1.0,0.5946266666666666,59.462666666666664
bit_flip,0.05,0.2529533333333333,1.0,0.7470466666666666,74.70466666666667
bit_flip,0.1,0.16837333333333332,1.0,0.8316266666666667,83.16266666666667
depolarizing,0.0,1.0,1.0,0.0,0.0
depolarizing,0.001,0.9152066666666666,1.0,0.08479333333333339,8.479333333333338
depolarizing,0.002,0.84736,1.0,0.15264,15.264
depolarizing,0.005,0.70324,1.0,0.29676,29.676000000000002
depolarizing,0.01,0.5643133333333333,1.0,0.43568666666666667,43.568666666666665
depolarizing,0.02,0.41922000000000004,1.0,0.58078,58.077999999999996
depolarizing,0.05,0.24890666666666664,1.0,0.7510933333333334,75.10933333333334
depolarizing,0.1,0.1573133333333333,1.0,0.8426866666666667,84.26866666666668
phase_flip,0.0,1.0,1.0,0.0,0.0
phase_flip,0.001,0.90162,1.0,0.09838000000000002,9.838000000000003
phase_flip,0.002,0.8249533333333333,1.0,0.17504666666666668,17.50466666666667
phase_flip,0.005,0.6699533333333334,1.0,0.3300466666666666,33.00466666666666
phase_flip,0.01,0.5251866666666667,1.0,0.4748133333333333,47.48133333333333
phase_flip,0.02,0.3770466666666667,1.0,0.6229533333333332,62.295333333333325
phase_flip,0.05,0.20883999999999997,1.0,0.7911600000000001,79.11600000000001
phase_flip,0.1,0.12974666666666665,1.0,0.8702533333333333,87.02533333333334
readout,0.0,1.0,1.0,0.0,0.0
readout,0.001,0.996,1.0,0.0040000000000000036,0.40000000000000036
readout,0.002,0.9917999999999999,1.0,0.008200000000000096,0.8200000000000096
readout,0.005,0.97852,1.0,0.021480000000000055,2.1480000000000055
readout,0.01,0.95852,1.0,0.04147999999999996,4.147999999999996
readout,0.02,0.92136,1.0,0.07864000000000004,7.864000000000004
readout,0.05,0.81784,1.0,0.18216,18.215999999999998
readout,0.1,0.6688,1.0,0.33120000000000005,33.120000000000005
thermal,0.0,1.0,1.0,0.0,0.0
thermal,0.001,0.99924,1.0,0.0007599999999999829,0.07599999999999829
thermal,0.002,0.9983933333333332,1.0,0.0016066666666667562,0.16066666666667562
thermal,0.005,0.9957266666666666,1.0,0.004273333333333351,0.4273333333333351
thermal,0.01,0.9911933333333334,1.0,0.00880666666666663,0.8806666666666629
thermal,0.02,0.9833133333333334,1.0,0.016686666666666627,1.6686666666666627
thermal,0.05,0.9612533333333334,1.0,0.038746666666666596,3.8746666666666596
thermal,0.1,0.92844,1.0,0.07155999999999996,7.155999999999995
