qubits,depth,noise_model,gate_count,noise_probability,shots,seed,success_probability,error_rate,fidelity,counts,repetition
2,1,bit_flip,10,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,1,bit_flip,10,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,1,bit_flip,10,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,1,bit_flip,10,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,1,bit_flip,10,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,1,bit_flip,10,0.001,1000,0,0.995,0.0050000000000000044,0.9949999999999999,"{'00': 995, '11': 1, '01': 4}",0
2,1,bit_flip,10,0.001,1000,1,0.995,0.0050000000000000044,0.9949999999999999,"{'00': 995, '11': 1, '10': 3, '01': 1}",1
2,1,bit_flip,10,0.001,1000,2,0.994,0.006000000000000005,0.9939999999999999,"{'00': 994, '01': 2, '10': 3, '11': 1}",2
2,1,bit_flip,10,0.001,1000,3,0.997,0.0030000000000000027,0.997,"{'00': 997, '10': 2, '01': 1}",3
2,1,bit_flip,10,0.001,1000,4,0.997,0.0030000000000000027,0.997,"{'00': 997, '11': 2, '10': 1}",4
2,1,bit_flip,10,0.002,1000,0,0.988,0.01200000000000001,0.988,"{'00': 988, '01': 7, '11': 1, '10': 4}",0
2,1,bit_flip,10,0.002,1000,1,0.989,0.01100000000000001,0.989,"{'00': 989, '11': 4, '01': 6, '10': 1}",1
2,1,bit_flip,10,0.002,1000,2,0.99,0.010000000000000009,0.99,"{'00': 990, '10': 2, '01': 4, '11': 4}",2
2,1,bit_flip,10,0.002,1000,3,0.994,0.006000000000000005,0.9939999999999999,"{'00': 994, '11': 2, '01': 3, '10': 1}",3
2,1,bit_flip,10,0.002,1000,4,0.994,0.006000000000000005,0.9939999999999999,"{'00': 994, '01': 3, '11': 3}",4
2,1,bit_flip,10,0.005,1000,0,0.977,0.02300000000000002,0.9770000000000001,"{'00': 977, '01': 11, '10': 7, '11': 5}",0
2,1,bit_flip,10,0.005,1000,1,0.972,0.028000000000000025,0.972,"{'00': 972, '11': 5, '01': 14, '10': 9}",1
2,1,bit_flip,10,0.005,1000,2,0.98,0.020000000000000018,0.9800000000000001,"{'00': 980, '10': 6, '11': 6, '01': 8}",2
2,1,bit_flip,10,0.005,1000,3,0.977,0.02300000000000002,0.9770000000000001,"{'00': 977, '01': 14, '11': 4, '10': 5}",3
2,1,bit_flip,10,0.005,1000,4,0.98,0.020000000000000018,0.9800000000000001,"{'00': 980, '01': 12, '10': 5, '11': 3}",4
2,1,bit_flip,10,0.01,1000,0,0.956,0.04400000000000004,0.9559999999999998,"{'00': 956, '10': 11, '11': 12, '01': 21}",0
2,1,bit_flip,10,0.01,1000,1,0.955,0.04500000000000004,0.9550000000000001,"{'00': 955, '01': 17, '11': 14, '10': 14}",1
2,1,bit_flip,10,0.01,1000,2,0.956,0.04400000000000004,0.9559999999999998,"{'00': 956, '01': 24, '11': 12, '10': 8}",2
2,1,bit_flip,10,0.01,1000,3,0.96,0.040000000000000036,0.96,"{'00': 960, '10': 14, '11': 9, '01': 17}",3
2,1,bit_flip,10,0.01,1000,4,0.961,0.039000000000000035,0.9609999999999999,"{'00': 961, '10': 12, '01': 19, '11': 8}",4
2,1,bit_flip,10,0.02,1000,0,0.922,0.07799999999999996,0.922,"{'00': 922, '11': 22, '01': 34, '10': 22}",0
2,1,bit_flip,10,0.02,1000,1,0.923,0.07699999999999996,0.9229999999999999,"{'00': 923, '10': 17, '01': 32, '11': 28}",1
2,1,bit_flip,10,0.02,1000,2,0.917,0.08299999999999996,0.917,"{'00': 917, '01': 39, '10': 24, '11': 20}",2
2,1,bit_flip,10,0.02,1000,3,0.923,0.07699999999999996,0.9229999999999999,"{'00': 923, '01': 37, '11': 23, '10': 17}",3
2,1,bit_flip,10,0.02,1000,4,0.922,0.07799999999999996,0.922,"{'00': 922, '11': 19, '01': 39, '10': 20}",4
2,1,bit_flip,10,0.05,1000,0,0.825,0.17500000000000004,0.825,"{'00': 825, '10': 42, '01': 84, '11': 49}",0
2,1,bit_flip,10,0.05,1000,1,0.832,0.16800000000000004,0.8319999999999999,"{'00': 832, '01': 70, '11': 55, '10': 43}",1
2,1,bit_flip,10,0.05,1000,2,0.811,0.18899999999999995,0.8109999999999999,"{'10': 40, '00': 811, '01': 95, '11': 54}",2
2,1,bit_flip,10,0.05,1000,3,0.819,0.18100000000000005,0.819,"{'00': 819, '01': 88, '10': 46, '11': 47}",3
2,1,bit_flip,10,0.05,1000,4,0.809,0.19099999999999995,0.809,"{'00': 809, '01': 89, '11': 44, '10': 58}",4
2,1,bit_flip,10,0.1,1000,0,0.667,0.33299999999999996,0.6670000000000001,"{'01': 159, '10': 88, '00': 667, '11': 86}",0
2,1,bit_flip,10,0.1,1000,1,0.682,0.31799999999999995,0.682,"{'00': 682, '01': 153, '11': 91, '10': 74}",1
2,1,bit_flip,10,0.1,1000,2,0.664,0.33599999999999997,0.6640000000000001,"{'11': 91, '00': 664, '01': 150, '10': 95}",2
2,1,bit_flip,10,0.1,1000,3,0.672,0.32799999999999996,0.672,"{'00': 672, '01': 150, '10': 90, '11': 88}",3
2,1,bit_flip,10,0.1,1000,4,0.642,0.358,0.642,"{'00': 642, '01': 172, '10': 91, '11': 95}",4
2,2,bit_flip,16,0.0,1000,0,1.0,0.0,1.0,{'00': 1000},0
2,2,bit_flip,16,0.0,1000,1,1.0,0.0,1.0,{'00': 1000},1
2,2,bit_flip,16,0.0,1000,2,1.0,0.0,1.0,{'00': 1000},2
2,2,bit_flip,16,0.0,1000,3,1.0,0.0,1.0,{'00': 1000},3
2,2,bit_flip,16,0.0,1000,4,1.0,0.0,1.0,{'00': 1000},4
2,2,bit_flip,16,0.001,1000,0,0.988,0.01200000000000001,0.988,"{'00': 988, '10': 5, '11': 4, '01': 3}",0
2,2,bit_flip,16,0.001,1000,1,0.986,0.014000000000000012,0.986,"{'00': 986, '11': 5, '01': 6, '10': 3}",1
2,2,bit_flip,16,0.001,1000,2,0.988,0.01200000000000001,0.988,"{'00': 988, '01': 2, '11': 6, '10': 4}",2
2,2,bit_flip,16,0.001,1000,3,0.991,0.009000000000000008,0.9909999999999999,"{'00': 991, '11': 3, '01': 5, '10': 1}",3
2,2,bit_flip,16,0.001,1000,4,0.992,0.008000000000000007,0.992,"{'00': 992, '10': 2, '01': 3, '11': 3}",4
2,2,bit_flip,16,0.002,1000,0,0.978,0.02200000000000002,0.9779999999999999,"{'00': 978, '01': 10, '11': 12}",0
2,2,bit_flip,16,0.002,1000,1,0.972,0.028000000000000025,0.972,"{'00': 972, '11': 11, '01': 8, '10': 9}",1
2,2,bit_flip,16,0.002,1000,2,0.98,0.020000000000000018,0.9800000000000001,"{'00': 980, '10': 5, '11': 10, '01': 5}",2
2,2,bit_flip,16,0.002,1000,3,0.977,0.02300000000000002,0.9770000000000001,"{'00': 977, '10': 14, '01': 3, '11': 6}",3
2,2,bit_flip,16,0.002,1000,4,0.981,0.019000000000000017,0.9809999999999999,"{'00': 981, '01': 7, '11': 6, '10': 6}",4
2,2,bit_flip,16,0.005,1000,0,0.949,0.051000000000000045,0.949,"{'00': 949, '11': 21, '10': 20, '01': 10}",0
2,2,bit_flip,16,0.005,1000,1,0.945,0.05500000000000005,0.945,"{'00': 945, '01': 18, '10': 10, '11': 27}",1
2,2,bit_flip,16,0.005,1000,2,0.946,0.05400000000000005,0.946,"{'00': 946, '10': 20, '01': 14, '11': 20}",2
2,2,bit_flip,16,0.005,1000,3,0.952,0.04800000000000004,0.9519999999999998,"{'00': 952, '11': 23, '10': 15, '01': 10}",3
2,2,bit_flip,16,0.005,1000,4,0.956,0.04400000000000004,0.9559999999999998,"{'00': 956, '11': 19, '10': 18, '01': 7}",4
2,2,bit_flip,16,0.01,1000,0,0.909,0.09099999999999997,0.909,"{'00': 909, '01': 27, '11': 43, '10': 21}",0
2,2,bit_flip,16,0.01,1000,1,0.905,0.09499999999999997,0.905,"{'00': 905, '11': 43, '01': 24, '10': 28}",1
2,2,bit_flip,16,0.01,1000,2,0.906,0.09399999999999997,0.9059999999999999,"{'01': 24, '00': 906, '10': 29, '11': 41}",2
2,2,bit_flip,16,0.01,1000,3,0.907,0.09299999999999997,0.907,"{'00': 907, '10': 29, '11': 40, '01': 24}",3
2,2,bit_flip,16,0.01,1000,4,0.899,0.10099999999999998,0.899,"{'00': 899, '11': 39, '01': 40, '10': 22}",4
2,2,bit_flip,16,0.02,1000,0,0.83,0.17000000000000004,0.8300000000000001,"{'00': 830, '10': 44, '01': 57, '11': 69}",0
2,2,bit_flip,16,0.02,1000,1,0.836,0.16400000000000003,0.836,"{'00': 836, '11': 74, '10': 50, '01': 40}",1
2,2,bit_flip,16,0.02,1000,2,0.814,0.18600000000000005,0.8139999999999998,"{'10': 49, '00': 814, '11': 73, '01': 64}",2
2,2,bit_flip,16,0.02,1000,3,0.825,0.17500000000000004,0.825,"{'00': 825, '01': 52, '11': 72, '10': 51}",3
2,2,bit_flip,16,0.02,1000,4,0.814,0.18600000000000005,0.8139999999999998,"{'00': 814, '10': 70, '01': 51, '11': 65}",4
2,2,bit_flip,16,0.05,1000,0,0.621,0.379,0.621,"{'01': 120, '11': 128, '00': 621, '10': 131}",0
2,2,bit_flip,16,0.05,1000,1,0.629,0.371,0.6290000000000001,"{'00': 629, '10': 104, '01': 126, '11': 141}",1
2,2,bit_flip,16,0.05,1000,2,0.632,0.368,0.6320000000000001,"{'11': 146, '00': 632, '01': 102, '10': 120}",2
2,2,bit_flip,16,0.05,1000,3,0.629,0.371,0.6290000000000001,"{'00': 629, '01': 128, '11': 145, '10': 98}",3
2,2,bit_flip,16,0.05,1000,4,0.598,0.402,0.598,"{'00': 598, '10': 137, '11': 148, '01': 117}",4
2,2,bit_flip,16,0.1,1000,0,0.392,0.608,0.392,"{'10': 194, '11': 202, '01': 212, '00': 392}",0
2,2,bit_flip,16,0.1,1000,1,0.38,0.62,0.38,"{'00': 380, '10': 201, '01': 228, '11': 191}",1
2,2,bit_flip,16,0.1,1000,2,0.422,0.5780000000000001,0.42200000000000004,"{'11': 212, '01': 194, '10': 172, '00': 422}",2
