qubits,depth,noise_model,gate_count,noise_probability,shots,repetition,seed,success_probability,fidelity
2,1,bit_flip,10,0.0,1000,0,0,1.0,1.0
2,1,bit_flip,10,0.0,1000,1,1,1.0,1.0
2,1,bit_flip,10,0.0,1000,2,2,1.0,1.0
2,1,bit_flip,10,0.0,1000,3,3,1.0,1.0
2,1,bit_flip,10,0.0,1000,4,4,1.0,1.0
2,1,bit_flip,10,0.001,1000,0,0,0.995,0.9949999999999999
2,1,bit_flip,10,0.001,1000,1,1,0.995,0.9949999999999999
2,1,bit_flip,10,0.001,1000,2,2,0.994,0.9939999999999999
2,1,bit_flip,10,0.001,1000,3,3,0.997,0.997
2,1,bit_flip,10,0.001,1000,4,4,0.997,0.997
2,1,bit_flip,10,0.002,1000,0,0,0.988,0.988
2,1,bit_flip,10,0.002,1000,1,1,0.989,0.989
2,1,bit_flip,10,0.002,1000,2,2,0.99,0.99
2,1,bit_flip,10,0.002,1000,3,3,0.994,0.9939999999999999
2,1,bit_flip,10,0.002,1000,4,4,0.994,0.9939999999999999
2,1,bit_flip,10,0.005,1000,0,0,0.977,0.9770000000000001
2,1,bit_flip,10,0.005,1000,1,1,0.972,0.972
2,1,bit_flip,10,0.005,1000,2,2,0.98,0.9800000000000001
2,1,bit_flip,10,0.005,1000,3,3,0.977,0.9770000000000001
2,1,bit_flip,10,0.005,1000,4,4,0.98,0.9800000000000001
2,1,bit_flip,10,0.01,1000,0,0,0.956,0.9559999999999998
2,1,bit_flip,10,0.01,1000,1,1,0.955,0.9550000000000001
2,1,bit_flip,10,0.01,1000,2,2,0.956,0.9559999999999998
2,1,bit_flip,10,0.01,1000,3,3,0.96,0.96
2,1,bit_flip,10,0.01,1000,4,4,0.961,0.9609999999999999
2,1,bit_flip,10,0.02,1000,0,0,0.922,0.922
2,1,bit_flip,10,0.02,1000,1,1,0.923,0.9229999999999999
2,1,bit_flip,10,0.02,1000,2,2,0.917,0.917
2,1,bit_flip,10,0.02,1000,3,3,0.923,0.9229999999999999
2,1,bit_flip,10,0.02,1000,4,4,0.922,0.922
2,1,bit_flip,10,0.05,1000,0,0,0.825,0.825
2,1,bit_flip,10,0.05,1000,1,1,0.832,0.8319999999999999
